player,min,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,ast,to,stl,blk
Tyson Walker,14,10,4,7,2,4,0,1,0,1,3,3,2,0
Assemian Moulare,8,3,1,3,1,2,0,0,0,1,1,1,0,0
Hugo Robineau,12,8,3,5,1,2,1,2,0,2,2,1,0,0
Trey Woodbury,9,4,1,3,0,1,2,2,0,1,1,1,0,0
Antony Labanca,7,3,1,2,1,2,0,0,0,0,0,0,0,0
Keith Jordan,11,4,2,4,0,1,0,0,1,2,0,0,1,1
Nathan Soliman,11,4,2,3,0,1,0,0,1,2,2,1,1,0
Adrian Nelson,6,2,1,2,0,0,0,0,1,0,0,0,0,0
Tyrese Samuel,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lionel Gaudoux,10,5,1,2,1,1,2,2,2,1,1,1,0,0
Kadin Shedrick,10,0,0,0,0,0,0,0,0,1,0,0,0,0
